,Tenure,Income,Age,Children,MonthlyCharge,Bandwidth_GB_Year
0,6.795512947,28561.99,68,0,172.455519,904.5361102
1,1.156680997,21704.77,27,1,242.632554,800.9827661
2,15.75414408,9609.57,50,4,159.947583,2054.706961
3,17.08722662,18925.23,48,1,119.95684,2164.579412
4,1.670971726,40074.19,83,0,149.948316,271.4934362
5,7.000993555,22660.2,83,3,185.007692,1039.357983
6,13.23677381,11467.5,79,0,200.118516,1907.242972
7,4.26425515,26759.64,30,2,114.950905,979.6127078
8,8.220686373,58634.51,49,2,117.468591,1312.874964
9,3.422086139,50231.4,86,1,162.482694,508.7637913
10,19.26726194,22580.7,23,7,174.958118,2728.767869
11,10.52199781,18342.12,56,2,149.962093,1180.588788
12,13.01149229,83671.08,83,0,137.439154,1196.388018
13,16.87922024,115114.57,29,5,184.971516,1948.694497
14,10.06019902,64256.81,30,1,159.965581,1582.295235
15,13.87001293,89061.45,39,3,177.65076,1840.014467
16,15.78214958,31659.3,63,0,194.966286,2070.376729
17,2.303331273,44142.81,60,2,202.682861,882.0985933
18,17.10995632,39262.14,61,3,152.490739,1833.0967
19,12.80615845,19494.75,23,3,149.944668,1954.080809
20,20.45390977,39624.21,38,4,184.978458,2330.319383
21,2.415991977,45714.47,30,3,127.495766,594.1054279
22,6.652298992,27442.03,52,3,124.964303,713.0633088
23,8.543717478,79699.62,68,2,149.948316,945.3802928
24,5.770390256,28520.32,75,3,162.511928,870.76398
25,4.157658837,12558.83,77,1,92.455141,774.2937069
26,10.40566091,8762.23,47,1,222.649979,1506.446527
27,1.392421597,43882.72,70,0,139.981577,419.0508708
28,1.430386349,10482.52,20,3,200.132293,1259.415493
29,5.425864884,33442.79,69,4,257.651257,1745.125956
31,3.586184954,21793.88,40,0,147.489301,492.4771472
32,4.727388465,51960.51,82,6,230.105118,1013.993166
33,20.89923386,25942.1,74,5,174.958118,2680.762173
34,3.471329958,11211.59,69,4,267.664655,1081.814362
35,5.478588204,8283.29,52,1,162.483267,1209.961168
36,3.312991809,10114.81,26,2,229.993134,897.5919144
37,7.161561527,36229.21,25,1,140.00128,1340.930156
38,9.847563364,25397.44,66,1,184.964681,1113.993679
39,16.04202196,50336.5,72,1,147.473844,1530.10769
40,9.179779682,38211.37,21,3,172.457857,1310.137419
41,3.002844144,52887.26,55,3,107.481989,892.8964931
42,3.924254455,12003.33,41,4,255.141716,1125.581944
43,18.55959629,24090.62,32,4,192.456745,2016.710031
44,8.798394712,15137.93,22,0,242.632554,1412.736809
45,10.377366,54458.38,44,2,245.174977,1710.689671
47,9.427146079,37358.13,43,3,195.006206,1213.940165
48,7.760290062,26534.16,86,1,104.962874,740.010722
49,11.56938439,76430.83,84,2,92.488023,897.9716153
50,3.343811019,4662.37,62,2,184.979684,1026.387172
51,7.338869531,43820.85,68,5,187.656013,1234.244324
52,5.486534225,38391.55,59,1,149.962093,727.3731845
53,1.55278221,44137.6,31,0,169.944668,452.8721504
54,12.07970325,14364.65,51,0,160.00128,1296.674543
55,13.98666226,62359.91,58,1,129.962093,1840.628269
56,9.563362997,82634.86,73,1,114.950905,1324.330108
57,6.732948946,15690.25,33,1,142.515576,958.1397059
58,15.72071086,14568.7,58,1,220.14775,1868.864027
59,7.233605493,29207.46,49,0,124.97808,676.712908
60,2.871017037,55319.23,26,1,164.964681,1086.990308
61,2.344875382,81831.49,25,1,194.976769,704.7540406
62,7.960490246,100076.65,42,0,152.455519,1416.444695
63,12.25062113,69965.65,81,1,92.5018,1095.950634
64,9.634946079,34883.69,43,1,127.488728,1083.610268
65,7.916533093,45634.2,63,2,184.963371,1570.641337
66,4.471254161,10964.73,70,3,265.146969,1007.425553
67,10.79028074,22365.28,78,1,207.609354,1323.028419
68,12.24190682,52636.6,48,0,152.462354,1808.730555
69,2.203859443,19048.13,63,1,200.132293,1120.241472
70,23.92132231,42784.82,60,4,212.655686,2676.789803
71,3.7311787,77996.88,87,0,255.119794,1268.086909
72,7.980015371,47507.3,54,3,134.950905,822.6771666
73,9.190009376,7724.73,35,3,255.137219,1577.915603
74,2.378630018,1509.52,70,1,214.966286,648.7471776
75,5.43464555,81124.71,67,2,270.160419,1648.102673
76,1.092361222,11795.57,46,4,200.165175,768.0874545
77,20.13981517,74794.84,50,1,149.937833,2426.030626
78,24.64873861,19038.78,24,1,240.114868,2660.503932
79,9.677739656,79167.77,20,0,127.495766,1129.549713
80,9.82814183,37428.26,29,1,187.609354,1771.286466
81,7.832238337,45148.38,31,0,169.992756,943.3391244
82,19.45250317,74855.47,72,5,192.456745,1907.226083
83,14.34766616,45323.86,71,4,120.004928,1885.939118
84,2.257358355,71596.14,32,2,195.006206,631.7435653
85,2.358129018,10389.95,33,0,139.95684,562.6095219
86,4.650578623,19657.14,67,3,114.983787,593.8572264
87,3.721772616,27827.03,66,0,207.638588,777.3060718
88,3.76663012,15609.05,21,4,187.609354,1393.202392
89,4.151256695,19815.63,61,0,134.950905,393.6524652
90,2.188918771,58482.9,75,0,192.470522,409.7486664
91,13.85488928,41656.53,63,0,222.628057,2138.107161
92,3.273341151,115510.46,68,0,162.468917,443.984031
93,19.75096265,15841.19,32,2,159.979358,2481.385603
94,18.38404445,81127.41,76,0,184.979684,2233.567181
95,4.672610857,24270.88,29,0,245.145743,1158.91369
96,6.796299371,54466.33,83,0,124.97808,529.40733
98,20.31163945,103311.26,80,5,162.500692,2056.386979
99,6.998814446,40211.04,20,0,182.467607,1067.373076
100,14.46288204,58077.38,69,0,222.660939,1806.135733
101,11.13472066,43466.35,32,1,182.467607,1397.701335
102,2.542296644,23289.77,53,0,220.161527,808.4305471
103,17.22596021,49158.49,25,2,169.937833,1886.531937
104,22.79214163,3805.84,69,0,204.963371,2294.781131
105,3.823689744,52616.27,71,3,204.963371,826.3438621
106,10.77094687,30550.42,53,3,245.128318,2072.564168
107,13.08671185,12154.01,56,2,172.473314,1436.793746
